Root.organism.name,text
ACTINOMYCES,"Actinomyces (from Greek ""actis"" ray, beam and ""mykes"", fungus) is a genus of the actinobacteria class of bacteria. They are all gram-positive. Actinomyces are facultatively anaerobic (except A. meyeri, a strict anaerobe). All species grow best under anaerobic conditions. Actinomyces species may form endospores, and, while individual bacteria are rod-shaped, Actinomyces colonies form fungus-like branched networks of hyphae.[1] The aspect of these colonies initially led to the incorrect assumption that the organism was a fungus and to the name ""Actinomyces"" or ray fungus.
Actinomyces are known for causing disease in humans, and for the important role they play in soil ecology. They produce a number of enzymes that help degrade organic plant material, lignin, and chitin. As such, their presence is important in the formation of compost. Some species have been found as part of the healthy vaginal microbiota.[2]"
KINGELLA,"Kingella kingae is a species of Gram-negative aerobic coccobacilli. First isolated in 1960, it was not recognized as a significant cause of infection in young children until the 1990s, when culture techniques had improved enough for it to be recognized. It is best known as a cause of septic arthritis, osteomyelitis, spondylodiscitis, bacteraemia, and endocarditis, and less frequently lower respiratory tract infections and meningitis.[1]
There are four species of Kingella: K. kingae, the most common, is part of the bacterial flora of the throat in young children and is transmitted from child to child. When it causes disease, the clinical presentation is often subtle and preceded by a recent history of stomatitis or upper respiratory infection. Other species are K. indologenes, K. denitrificans both causing endocarditis, and K. oralis found in dental plaque.
One notable exception is in cases of endocarditis (heart valve infection), which can be more refractory to treatment. K. kingae is the fifth member of the HACEK group of fastidious Gram-negative bacteria that cause endocarditis. Routine laboratory tests may be normal because the organism is difficult to culture. Inoculating the fluid from infected joints directly into blood culture vials can enhance the chances of an accurate culture, but extended culture times are not helpful.[2]
The organism has also been known as Moraxella kingae.
K. kingae is oxidase-positive, catalase-negative, and beta-hemolytic."
TRICHURIS,"Trichuris, often referred to as whipworms (which typically refers to T. trichiura only in medicine, and to any other species in veterinary medicine), is a genus of parasite worms from the roundworm family Trichuridae, which is a type of helminth. The name whipworm refers to the shape of the worm; they look like whips with wider ""handles"" at the posterior end. The name Trichocephalus is sometimes used for this genus.[1]
The genus Trichuris includes over 20 species which infect the large intestine of their host including:
Trichuris trichiura (sometimes Trichocephalus trichiuris) - causes trichuriasis in humans]
Trichuris campanula (cat whipworm)
Trichuris suis (pig whipworm)
Trichuris muris (mouse whipworm)
Trichuris vulpis (dog whipworm)
A new species - as yet unnamed - has been identified in Franois leaf monkey(Trachypithecus francoisi).[2]
Other species in this genus include Trichuris cynocephalus, Trichuris discolor, Trichuris laevitestis,Trichuris pardinasi, Trichuris navonae,Trichuris ovis, Trichuris rhinopithecus, Trichuris thrichomysi and Trichuris travassosi.
Trichurias is a soil-transmitted helminthias and belongs to the group of neglected tropical diseases, affecting about 604 million people globally.[3]"
ORF-PARAVACCINIA VIRUS,
NOROVIRUS,"Norovirus, sometimes known as the winter vomiting bug[1] in the UK, is the most common cause of viral gastroenteritis in humans. It affects people of all ages.[2] The virus is transmitted by fecally contaminated food or water, by person-to-person contact,[3] and via aerosolization of the virus and subsequent contamination of surfaces.[4] The virus affects around 267 million people and causes over 200,000 deaths each year; these deaths are usually in less developed countries and in the very young, elderly and immunosuppressed.[5]
Norovirus infection is characterized by nausea, projectile vomiting, watery diarrhea, abdominal pain, and in some cases, loss of taste. General lethargy, weakness, muscle aches, headache, and low-grade fever may occur. The disease is usually self-limiting, and severe illness is rare. Although having norovirus can be unpleasant, it is not usually dangerous and most who contract it make a full recovery within a couple of days.[1] Norovirus is rapidly inactivated by either sufficient heating or by chlorine-based disinfectants and polyquaternary amines, but the virus is less susceptible to alcohols and detergents.[6]
After infection, immunity to norovirus is usually incomplete and temporary,[7] with one publication drawing the conclusion that protective immunity to the same strain of norovirus lasts for six months, but that all such immunity is gone after two years.[8] Outbreaks of norovirus infection often occur in closed or semiclosed communities, such as long-term care facilities, overnight camps, hospitals, schools, prisons, dormitories, and cruise ships, where the infection spreads very rapidly either by person-to-person transmission or through contaminated food.[9] Many norovirus outbreaks have been traced to food that was handled by one infected person.[10]
The genus name Norovirus is derived from Norwalk virus, the only species of the genus. The species causes approximately 90% of epidemic nonbacterial outbreaks of gastroenteritis around the world,[11] and may be responsible for 50% of all foodborne outbreaks of gastroenteritis in the United States.[12][13]
"
PEPTOSTREPTOCOCCUS,"Peptostreptococcus is a genus of anaerobic, Gram-positive, non-spore forming bacteria. The cells are small, spherical, and can occur in short chains, in pairs or individually.[1] Peptostreptococcus are slow-growing bacteria with increasing resistance to antimicrobial drugs.[2]
The most frequently identified species of Peptostreptococcus is P. magnus."
ISOSPORA,"Isospora is a genus of internal parasites classified under Coccidia.
It is responsible for the condition isosporiasis, which causes acute, non-bloody diarrhoea in immunocompromised individuals."
SCHISTOSOMA,"A genus of trematodes, Schistosoma, commonly known as blood-flukes, are parasitic flatworms responsible for a highly significant group of infections in humans termed schistosomiasis. Schistosomiasis is considered by the World Health Organization as the second most socioeconomically devastating parasitic disease, (after malaria), with hundreds of millions infected worldwide.[1][2]
Adult flatworms parasitize blood capillaries of either the mesenteries or plexus of the bladder, depending on the infecting species. They are unique among trematodes and any other flatworms in that they are dioecious with distinct sexual dimorphism between male and female. Thousands of eggs are released and reach either the bladder or the intestine (according to the infecting species), and these are then excreted in urine or feces to fresh water. Larvae must then pass through an intermediate snail host, before the next larval stage of the parasite emerges that can infect a new mammalian host by directly penetrating the skin."
ASTROVIRUS,"Astrovirus is a type of virus that was first discovered in 1975 using electron microscopes following an outbreak of diarrhoea in humans.[1] In addition to humans, astroviruses have now been isolated from numerous mammalian animal species (and are classified as genus Mammoastrovirus) and from avian species such as ducks, chickens, and turkey poults (classified as genus Aviastrovirus). Astroviruses are 28_35 nm diameter, icosahedral viruses that have a characteristic five- or sixpointed star-like surface structure when viewed by electron microscopy. Along with the Picornaviridae and the Caliciviridae, the Astroviridae comprise a third family of nonenveloped viruses whose genome is composed of plus-sense, single-stranded RNA.[2] Astrovirus has a non-segmented, single stranded, positive sense RNA genome within a non-enveloped icosahedral capsid.[3] Human astroviruses have been shown in numerous studies to be an important cause of gastroenteritis in young children worldwide.[2]"
COXIELLA,"Coxiella refers to a genus of Gram-negative bacteria in the family Coxiellaceae. It is named after Harold Herald Rea Cox (1907_1986), an American bacteriologist. It is one of the Gammaproteobacteria.[1]
Coxiella burnetii is the only member of this genus. It is an intracellular bacterium and it survives within the phagolysosomes of its host. It causes Q fever.
Treatment: 1st Generation cephalosporin"
VIBRIO,"Vibrio is a genus of Gram-negative bacteria possessing a curved-rod shape (comma shape),[1][2][3] several species of which can cause foodborne infection, usually associated with eating undercooked seafood. Typically found in salt water, Vibrio species are facultative anaerobes that test positive for oxidase and do not form spores.[4] All members of the genus are motile and have polar flagella with sheaths. Recent phylogenies have been constructed based on a suite of genes (multilocus sequence analysis).[1]
The name Vibrio derives from Filippo Pacini, who isolated micro-organisms he called ""vibrions"" from cholera patients in 1854, because of their motility.[5]"
PAPOVAVIRUS,"A Papovavirus is any member of the former virus family of Papovaviridae.[1] They are mainly associated with various neoplasms in mammals.[1] The family of Papovaviridae is no longer used in recent taxonomy, but is split into the Papillomaviridae and the Polyomaviridae.[2]
The name derives from three abbreviations: Pa for papillomavirus, Po for polyomavirus, and Va for ""vacuolating"" (simian vacuolating virus 40 or SV40, which is now known to be part of the polyomavirus genus).
Papovaviruses are DNA viruses containing double-stranded DNA, are icosahedral in shape, and do not have a lipoprotein envelope.
They are commonly found in humans and other species, mostly mammals. The one that most often causes disease in humans is the human papillomavirus."
ACINETOBACTER,"Acinetobacter (a-sin-EE-toe-bak-ter) is a genus of Gram-negative bacteria belonging to the wider class of Gammaproteobacteria. Acinetobacter species are not motile and oxidase-negative, and occur in pairs under magnification.
They are important soil organisms, where they contribute to the mineralization of, for example, aromatic compounds. Acinetobacter species are a key source of infection in debilitated patients in the hospital, in particular the species Acinetobacter baumannii."
SERRATIA,"Serratia is a genus of Gram-negative, facultatively anaerobic, rod-shaped bacteria of the Enterobacteriaceae family. The most common species in the genus, S. marcescens, is normally the only pathogen and usually causes nosocomial infections. However, rare strains of S. plymuthica, S. liquefaciens, S. rubidaea, and S. odoriferae have caused diseases through infection.[2] Members of this genus produce characteristic red pigment, prodigiosin, and can be distinguished from other members of the family Enterobacteriaceae by their unique production of three enzymes: DNase, lipase, and gelatinase.[3]"
LEPTOSPIRA,"Leptospira (Greek leptos, ""fine, thin"" and Latin spira, ""coil"")[1] is a genus of spirochaete bacteria, including a small number of pathogenic and saprophytic species.[2] Leptospira was first observed in 1907 in kidney tissue slices of a leptospirosis victim who was described as having died of ""yellow fever.""[3]"
BORDETELLA,"Bordetella is a genus of small (0.2 - 0.7 micrometres), Gram-negative coccobacilli of the phylum Proteobacteria. Bordetella species, with the exception of B. petrii, are obligate aerobes, as well as highly fastidious, or difficult to culture. Three species are human pathogens (B. pertussis, B. parapertussis, B. bronchiseptica); one of these (B. bronchiseptica) is also motile.[1]
B. pertussis and occasionally B. parapertussis cause pertussis or whooping cough in humans, and some B. parapertussis strains can colonise sheep. B. bronchiseptica rarely infects healthy humans, though disease in immunocompromised patients has been reported.[2] B. bronchiseptica causes several diseases in other mammals, including kennel cough and atrophic rhinitis in dogs and pigs, respectively. Other members of the genus cause similar diseases in other mammals, and in birds (B. hinzii, B. avium).
The Bordetella genus is named after Jules Bordet."
PROVIDENCIA,"Providencia is a Gram negative, motile bacterium of the family Enterobacteriaceae. Some strains (P. stuartii, for example) are opportunistic pathogens in humans and can cause urinary tract infections, particularly in patients with long-term indwelling urinary catheters or extensive severe burns. Other strains (for example P. burhodogranariea and P. sneebia) are found in the haemolymph of Drosophila melanogaster fruit flies.[1]
Some strains are sensitive to ampicillin."
GARDNERELLA,"Gardnerella is a genus of Gram-variable-staining facultative anaerobic bacteria of which G. vaginalis is the only species. The organisms are small (1-1.5 micrometer diameter) non-spore forming, non-motile coccobacilli.
Once classified as Haemophilus vaginalis and afterwards as Corynebacterium vaginalis, Gardnerella vaginalis grows as small, circular, convex, gray colonies on chocolate agar; it also grows on HBT agar. A selective medium for G. vaginalis is colistin-oxolinic acid blood agar."
STRONGYLOIDES,"Strongyloides (from Greek strongylos, round, + eidos, resemblance), Anguillula, or threadworm is a genus of small nematode parasites, belonging to the family Strongyloididae, commonly found in the small intestine of mammals (particularly ruminants), that are characterized by an unusual life cycle that involves one or several generations of free-living adult worms.
Human infection, strongyloidiasis, is chiefly caused by Strongyloides stercoralis, widespread in all tropical regions, or by Strongyloides fuelleborni, a parasite of primates in African and Asian tropics and of humans in African tropics and New Guinea. Other species include Strongyloides papillosus found in cows, pigs, sheep, goats, rabbits, and rats, Strongyloides ransomi found in pigs and Strongyloides ratti, found in rats."
ADENOVIRUSES,"Adenoviruses (members of the family Adenoviridae) are medium-sized (90_100 nm), nonenveloped (without an outer lipid bilayer) viruses with an icosahedral nucleocapsid containing a double stranded DNA genome. Their name derives from their initial isolation from human adenoids in 1953.[1]
They have a broad range of vertebrate hosts; in humans, 57 distinct adenoviral serotypes have been found to cause a wide range of illnesses, from mild respiratory infections in young children to life-threatening multi-organ disease in people with a weakened immune system."
STENOTROPHOMONAS,"Stenotrophomonas is a genus of Gram-negative bacteria.[1] With species ranging from common soil organisms (S. nitritireducens) to opportunistic human pathogens (S. maltophilia), the molecular taxonomy of the genus is still somewhat unclear.[2]"
HAFNIA,"Hafnia is the genus of the Enterobacteriaceae family whose only species is the Gram-negative, facultatively anaerobic, rod-shaped bacterium Hafnia alvei.
H. alvei is a commensal of the human gastrointestinal tract and not normally pathogenic, but may cause disease in immunocompromised patients. It is often resistant to multiple antibiotics, including the aminopenicillins.
The name comes from Hafnia, the Latin name for Copenhagen."
MICROCOCCUS,"Micrococcus is a genus of bacteria in the Micrococcaceae family. Micrococcus occurs in a wide range of environments, including water, dust, and soil. Micrococci have Gram-positive spherical cells ranging from about 0.5 to 3 micrometers in diameter and typically appear in tetrads. They are catalase positive, oxidase positive, indole negative and citrate negative. Micrococcus has a substantial cell wall, which may comprise as much as 50% of the cell mass. The genome of Micrococcus is rich in guanine and cytosine (GC), typically exhibiting 65 to 75% GC-content. Micrococci often carry plasmids (ranging from 1 to 100 MDa in size) that provide the organism with useful traits."
ECHINOCOCCUS,"The genus Echinococcus includes six parasite species of cyclophyllid tapeworms to date, of the family Taeniidae. Infection with Echinococcus results in hydatid disease, also known as echinococcosis.
Echinococcus is triploblastic - it has three layers- outermost ectoderm, middle mesoderm, and inner endoderm. An anus is absent, and it has no digestive system. Its body is covered by tegument and the worm is divided into a scolex, a short neck, and three to six proglottids. Its body shape is ribbon-like.
In humans, this causes a disease called echinococcosis. The three types of echinococcosis are cystic echinococcosis caused by E. granulosus, alveolar echinococcosis caused by E. multilocularis, and polycystic echinococcosis caused by E. vogeli or E. oligarthrus.[1] A worm'sincubation period is usually long and can be up to 50 years. Cystic echinococcosis is mostly found in South and Central America, Africa, the Middle East, China, Italy, Spain, Greece, Russia, and the western United States (Arizona, New Mexico, and California).
Echinococcosis is a zoonosis; humans are dead-end hosts. The definitive hosts are carnivorous predators - dogs, wolves, foxes, and lions. The adult tapeworm lives in their small intestines and delivers eggs to be excreted with the stool. The intermediate hosts are infected by ingesting eggs. Sheep, goats, cattle, camels, pigs, wild herbivores, and rodents are the usual intermediate hosts, but humans can also be infected.
The egg hatches in the digestive system of the intermediate host, producing a planula larva. It penetrates the intestinal wall and is carried by bloodstream to liver, lung, brain, or another organ. It settles there and turns into a bladder-like structure called hydatid cyst. From the inner lining of its wall, protoscoleces (i.e. scoleces with invaginated tissue layers) bud and protrude into the fluid filling the cyst.
After the death of the normal intermediate host, its body can be eaten by carnivores suitable as definitive hosts. In their small intestines, protoscoleces turn inside out, attach, and give rise to adult tapeworms, completing the lifecycle. In humans, the cysts persist and grow for years. They are regularly found in the liver (and every possible organ: spleen, kidney, bone, brain, tongue and skin) and are asymptomatic until their growing size produces symptoms or are accidentally discovered. Disruption of the cysts (spontaneous or iatrogenic e.g. liver biopsy) can be life-threatening due to anaphylactic shock.
Cysts are detected with ultrasound, X-ray computed tomography, or other imaging techniques. Antiechinococcus antibodies can be detected with serodiagnostic tests - indirect fluorescent antibody, complement fixation, ELISA, Western blot, and other methods.[2]
"
COLIFORM,"Coliform bacteria are a commonly used bacterial indicator of sanitary quality of foods and water. They are defined as rod-shaped Gram-negative non-spore forming and motile or non-motile bacteria which can ferment lactose with the production of acid and gas when incubated at 35-37 degrees C.[1] Coliforms can be found in the aquatic environment, in soil and on vegetation; they are universally present in large numbers in the feces of warm-blooded animals. While coliforms themselves are not normally causes of serious illness, they are easy to culture, and their presence is used to indicate that other pathogenic organisms of fecal origin may be present. Such pathogens include disease-causing bacteria, viruses, or protozoa and many multicellular parasites. Coliform procedures are performed in aerobic or reduced oxygen conditions.
Typical genera include:[2]
Citrobacter,
Enterobacter
Hafnia
Klebsiella
Fecal coliform:
Escherichia
Escherichia coli (E. coli), a rod-shaped member of the coliform group, can be distinguished from most other coliforms by its ability to ferment lactose at 44 degrees C in the fecal coliform test, and by its growth and color reaction on certain types of culture media. When cultured on an eosin methylene blue (EMB) plate, a positive result for E. coli is metallic green colonies on a dark purple media. Escherichia coli have an incubation period of 12-72 hours with the optimal growth temperature being 30-37 degrees C. Unlike the general coliform group, E. coli are almost exclusively of fecal origin and their presence is thus an effective confirmation of fecal contamination. Most strains of E. coli are harmless, but some can cause serious illness in humans. Infection symptoms and signs include bloody diarrhea, stomach cramps, vomiting and occasionally, fever. The bacteria can also cause pneumonia, other respiratory illnesses and urinary tract infections.[3][4]
An easy way to differentiate between different types of coliform bacteria is by using an Eosin Methylene Blue Agar plate. This plate is partially inhibitory to Gram (+) bacteria, and will produce a color change in the Gram (-) bacterial colonies based on lactose fermentation abilities. Strong lactose fermenters will appear as dark blue/purple/black, and E.coli (which also ferments lactose) colonies will be dark colored, but will also appear to have a metallic green sheen. Other coliform bacteria will appear as thick, slimy colonies, with non-fermenters being colorless, and weak fermenters being pink."
HELICOBACTER,"Helicobacter is a genus of Gram-negative bacteria possessing a characteristic helical shape. They were initially considered to be members of the Campylobacter genus, but in 1989 Goodwin et al. published sufficient reasons to justify his new genus name of Helicobacter. [1] The Helicobacter genus contains about 35 species.[2][3][4]
Some species have been found living in the lining of the upper gastrointestinal tract, as well as the liver of mammals and some birds.[5] The most widely known species of the genus is H. pylori, which infects up to 50% of the human population.[4] Some strains of this bacterium are pathogenic to humans as it is strongly associated with peptic ulcers, chronic gastritis, duodenitis, and stomach cancer. It also serves as the type species of the genus.
Helicobacter species are able to thrive in the very acidic mammalian stomach by producing large quantities of the enzyme urease, which locally raises the pH from about 2 to a more biocompatible range of 6 to 7.[6] Bacteria belonging to this genus are usually susceptible to antibiotics such as penicillin, are microaerophilic (optimal oxygen concentration between 5 and 14%) capnophiles, and are fast-moving with their flagella.[7][8]"
BORRELIA,"Borrelia is a genus of bacteria of the spirochete phylum.[1] It causes borreliosis, a zoonotic, vector-borne disease transmitted primarily by ticks and some by lice, depending on the species.[2] The 36 known species of Borrelia are named after the French biologist Am_d_e Borrel."
TRICHOSPORON,"Trichosporon is a genus of anamorphic fungi in the family Trichosporonaceae. All species of Trichosporon are yeasts with no known teleomorphs (sexual states). Most are typically isolated from soil, but several species occur as a natural part of the skin microbiota of humans and other animals. Proliferation of Trichosporon yeasts in the hair can lead to an unpleasant but non-serious condition known as white piedra. Trichosporon species can also cause severe opportunistic infections (trichosporonosis) in immunocompromised individuals."
BLASTOCYSTIS,"Blastocystis is a genus of single-celled protozoan parasites belonging to a group of organisms known as the Stramenopiles (also called Heterokonts) that includes algae, diatoms, and water molds. Blastocystis comprises several species, living in the gastrointestinal tracts of species as diverse as humans, farm animals, birds, rodents, reptiles, amphibians, fish, and cockroaches.[1]
Blastocystis exhibits low host specificity, and many different species of Blastocystis can infect humans[2] and by current convention, any of these species would be identified as Blastocystis hominis if they were identified in a human. These have a widespread geographic distribution and are found at a rate of 5-10% in most developed countries, and a rate of up to 50% in less developed areas.[3] High rates of infection are also found in individuals in developed countries who work with animals.[4] Although the role of Blastocystis hominis in human disease is often referred to as controversial, a systematic survey of research studies conducted by 11 infectious disease specialists from nine countries, found that over 95% of papers published in the last 10 years identified it as causing illness in immunocompetent individuals. The paper attributed confusion over pathogenicity to the existence of asymptomatic carriers, a phenomenon the study noted is common to all gastrointestinal protozoa.[3]"
HEPATITIS VIRUSES,"Viral hepatitis is liver inflammation due to a viral infection.[1] It may present in acute (recent infection, relatively rapid onset) or chronic forms. The most common causes of viral hepatitis are the five unrelated hepatotropic viruses Hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, and Hepatitis E. In addition to the nominal hepatitis viruses, other viruses that can also cause liver inflammation include Herpes simplex, Cytomegalovirus, Epstein_Barr virus, and Yellow fever."
AEROCOCCUS,"Aerococcus is a genus in the phylum Firmicutes (Bacteria).[1] It includes the causative agent of gaffkaemia, a disease of lobsters.[2]"
PANTOEA,"Pantoea is a genus of Gram-negative bacteria of the family Enterobacteriaceae, recently separated from the Enterobacter genus. Pantoea bacteria ferment lactose, are motile, and form mucoid colonies. [1] This genus includes eight species and two sub-species. Besides that, some of the species show quorum sensing ability that could drive different gene expression hence controlling certain physiological activities [2]"
ENTEROBIUS,"The pinworm (genus Enterobius), also known as threadworm (in the United Kingdom and Australia) or seatworm, is a parasitic worm. It is a nematode (roundworm) and a common intestinal parasite or helminth, especially in humans.[5] The medical condition associated with pinworm infestation is known as enterobiasis[6] (a type of helminthiasis) or less precisely as oxyuriasis in reference to the family Oxyuridae.[7]
Throughout this article, the word ""pinworm"" refers to Enterobius. In British usage, however, pinworm refers to Strongyloides, while Enterobius is called threadworm.[8]"
PREVOTELLA,"Prevotella is a genus of Gram-negative bacteria.
Bacteroides melaninogenicus has been reclassified and split into Prevotella melaninogenica and Prevotella intermedia.[1]
Prevotella spp. are members of the oral and vaginal flora, and are recovered from anaerobic infections of the respiratory tract. These infections include aspiration pneumonia, lung abscess, pulmonary empyema, and chronic otitis media and sinusitis. They have been isolated from abscesses and burns in the vicinity of the mouth, bites, paronychia, urinary tract infection, brain abscesses, osteomyelitis, and bacteremia associated with upper respiratory tract infections. Prevotella spp. predominate in periodontal disease and periodontal abscesses. [2]
In a study of gut bacteria of children in Burkina Faso (in Africa), Prevotella made up 53% of the gut bacteria, but were absent in age-matched European children.[3] Studies also indicate that long-term diet is strongly associated with the gut microbiome composition those who eat plenty of protein and animal fats typical of Western diet have predominantly Bacteroides bacteria, while for those who consume more carbohydrates, especially fibre, the Prevotella species dominate.[4]
P. copri is possibly connected to rheumatoid arthritis.[5]
A recent study on Prevotella derived from humans compared the gene repertoires of its species derived from different body sites of human. It also reported an open pan- genome showing vast diversity of gene pool. [6]"
LACTOCOCCUS,"Lactococcus is a genus of lactic acid bacteria that were formerly included in the genus Streptococcus Group N1.[1] They are known as homofermentors meaning that they produce a single product, lactic acid in this case, as the major or only product of glucose fermentation. Their homofermentative character can be altered by adjusting cultural conditions such as pH, glucose concentration, and nutrient limitation. They are gram-positive, catalase-negative, non-motile cocci that are found singly, in pairs, or in chains. The genus contains strains known to grow at or below 7 degrees C.[2]
Nine species of Lactococcus are currently recognized along with four subspecies.[3] They are:
L. chungangensis
L. formosensis
L. fujiensis
L. garvieae
L. lactis
L. lactis subsp. cremoris
L. lactis subsp. hordniae
L. lactis subsp. lactis
L. lactis subsp. tructae
L. piscium
L. plantarum
L. raffinolactis
L. taiwanensis
These organisms are commonly used in the dairy industry in the manufacture of fermented dairy products such as cheeses. They can be used in single-strain starter cultures, or in mixed-strain cultures with other lactic acid bacteria such as Lactobacillus and Streptococcus. Special interest is placed on the study of L. lactis subsp. lactis and L. lactis subsp. cremoris, as they are the strains used as starter cultures in industrial dairy fermentations.[4] Their main purpose in dairy production is the rapid acidification of milk; this causes a drop in the pH of the fermented product, which prevents the growth of spoilage bacteria. The bacteria also play a role in the flavor of the final product.[5] Lactococci are currently being used in the biotechnology industry. They are easily grown at industrial scale on whey-based media. As food-grade bacteria, they are used in the production of foreign proteins that are applied to the food industry."
TRICHOPHYTON,"Trichophyton is a genus of fungi, which includes the parasitic varieties that cause tinea, including athlete's foot, ringworm, jock itch, and similar infections of the nail, beard, skin and scalp. Trichophyton fungi are molds characterized by the development of both smooth-walled macro- and microconidia. Macroconidia are mostly borne laterally directly on the hyphae or on short pedicels, and are thin- or thick-walled, clavate to fusiform, and range from 4 to 8 by 8 to 50 _m in size. Macroconidia are few or absent in many species. Microconidia are spherical, pyriform to clavate or of irregular shape, and range from 2 to 3 by 2 to 4 _m in size."
ARCANOBACTERIUM,"Arcanobacterium haemolyticum, formerly known as Corynebacterium h_molyticum, is a bacterium classified as a Gram-positive bacillus and is catalase-negative, aerobic, beta-haemolytic, nonmotile.[1] It is part of the normal flora of the pharynx, but may cause head and neck infections, pharyngitis and sinusitis.[2]"
DIENTAMOEBA,"Dientamoeba fragilis is a single-celled parasite found in the gastrointestinal tract of some humans, pigs and gorillas. It causes gastrointestinal upset in some people, but not in others.[1] It is an important cause of travellers diarrhoea, chronic diarrhoea, fatigue and, in children, failure to thrive."
RHIZOBIUM,"Rhizobium is a genus of Gram-negative soil bacteria that fix nitrogen. Rhizobium forms an endosymbiotic nitrogen fixing association with roots of legumes and Parasponia.
The bacteria colonize plant cells within root nodules; here the bacteria convert atmospheric nitrogen to ammonia and then provide organic nitrogenous compounds such as glutamine or ureides to the plant. The plant provides the bacteria with organic compounds made by photosynthesis.[2]"
MORAXELLA,"Moraxella is a genus of Gram-negative bacteria in the Moraxellaceae family. It is named after the Swiss ophthalmologist Victor Morax. The organisms are short rods, coccobacilli or, as in the case of Moraxella catarrhalis, diplococci in morphology, with asaccharolytic, oxidase-positive and catalase-positive properties.[2] Moraxella catarrhalis is the clinically most important species under this genus."
FLAVOBACTERIUM,"Flaviobacterium is a genus of Gram-negative, non-motile and motile, rod-shaped bacteria that consists of 130 recognized species (http://www.bacterio.net/flavobacterium.html),[1] as well as three newly proposed species (F. gondwanense,[2] F. salegens,[2] and F. scophthalmum[3]). Flavobacteria are found in soil and fresh water in a variety of environments. Several species are known to cause disease in freshwater fish.[4]
Flaviobacterium psychrophilum causes the bacterial cold water disease (BCWD) on salmonids and the rainbow trout fry disease (RTFS) on rainbow trouts. Flaviobacterium columnare causes the cotton-wool disease on freshwater fishes. Flaviobacterium branchiophilum causes the bacterial gill disease (BGD) on trouts."
DELFTIA,Delftia is a genus of Comamonad bacteria.
BACILLUS,"Bacillus is a genus of Gram-positive, rod-shaped (bacillus) bacteria and a member of the phylum Firmicutes. Bacillus species can be obligate aerobes (oxygen reliant), or facultative anaerobes (having the ability to be aerobic or anaerobic). They will test positive for the enzyme catalase when there has been oxygen used or present.[2] Ubiquitous in nature, Bacillus includes both free-living (nonparasitic) and parasitic pathogenic species. Under stressful environmental conditions, the bacteria can produce oval endospores that are not true 'spores', but to which the bacteria can reduce themselves and remain in a dormant state for very long periods. These characteristics originally defined the genus, but not all such species are closely related, and many have been moved to other genera of the Firmicutes.[3]
Many species of Bacillus can produce copious amounts of enzymes which are made use of in different industries. Some species can form intracellular inclusions of polyhydroxyalkanoates under certain adverse environmental conditions, as in a lack of elements such as phosphorus, nitrogen, or oxygen combined with an excessive supply of carbon sources.
B.subtilis has proved a valuable model for research. Other species of Bacillus are important pathogens, causing anthrax and food poisoning."
MICROSPORIDIA,"The microsporidia constitute a phylum (Microspora) of spore-forming unicellular parasites. They were once thought to be protists but are now known to be fungi. Loosely 1500 of the probably more than one million[citation needed] species are named now. Microsporidia are restricted to animal hosts, and all major groups of animals host microsporidia. Most infect insects, but they are also responsible for common diseases of crustaceans and fish. The named species of microsporidia usually infect one host species or a group of closely related taxa. Several species, most of which are opportunistic, also infect humans.
Approximately 10 percent of the species are parasites of vertebrates   including humans, in which they can cause microsporidiosis.
After infection they influence their hosts in various ways and all organs and tissues are invaded, though generally by different species of microsporidia. Some species are lethal, and a few are used in biological control of insect pests. Parasitic castration, gigantism, or change of host sex are all potential effects of microsporidian parasitism (in insects). In the most advanced cases of parasitism the microsporidium rules the host cell completely and controls its metabolism and reproduction, forming a xenoma. .[1]
Replication takes place within the host's cells, which are infected by means of unicellular spores. These vary from 1-40 _m, making them some of the smallest eukaryotes.[citation needed] Microsporidia that infect mammals are 1.0-4.0 _m.[2] They also have the smallest eukaryotic genomes.
Microsporidium was once the vernacular name for a member of the class Microsporidea in the protozoan subphylum Cnidospora.[3]"
SALMONELLA,"Salmonella is a genus of rod-shaped (bacillus) bacteria of the Enterobacteriaceae family. There are two species of Salmonella, Salmonella bongori and Salmonella enterica. Salmonella enterica is further divided into six subspecies and over 2500 serovars.
Salmonellae are found worldwide in both cold-blooded and warm-blooded animals, and in the environment. Strains of Salmonella cause illnesses such as typhoid fever, paratyphoid fever, and food poisoning (Salmonellosis).[1]"
CALICIVIRUS,"Caliciviridae is a family of viruses, members of Class IV of the Baltimore scheme. They are positive-sense, single stranded RNA which is non-segmented. There are currently seven species in this family, divided among 5 genera. Diseases associated with this family include: feline calicivirus: respiratory disease; rabbit hemorrhagic disease virus: often-fatal hemorrhages; norwalk group of viruses: gastroenteritis.[1][2] Caliciviruses naturally infect vertebrates, and have been found in a number of organisms such as humans, cattle, pigs, cats, chickens, reptiles, dolphins and amphibians. The caliciviruses have a simple construction and are not enveloped. The capsid appears hexagonal/spherical and has icosahedral symmetry (T=1 or T=3[1]) with a diameter of 35_39 nm.[3]
Caliciviruses are not very well studied because until recently they could not be grown in culture, and there is no suitable animal model. However, the recent application of modern genomic technologies has led to an increased understanding of the virus family.[3] A recent isolate from rhesus monkeys Tulane virus can be grown in culture and this system promises to increase our understanding of these viruses.[4]
The name calicivirus is derived from the Greek word calyx meaning cup or goblet. This name is appropriate as many strains have visible cup-shaped depressions."
